"DB10,X0.0",CIP_ALM_ESTOP
"DB10,X0.2",CIP_ALM_AIR
"DB10,X0.3",CIP_ALM_SPL
"DB10,X0.4",CIP_ALM_SUP_FB
"DB10,X0.6",CIP_ALM_RET_FS
"DB10,X2.1",CIP_ALM_RT_LL
"DB10,X2.2",CIP_ALM_HT_LL
"DB10,X2.3",CIP_ALM_LT_LL
"DB10,X2.4",CIP_ALM_AT_LL
"DB10,X3.0",CIP_ALM_FLOW_LO
"DB12,REAL6",CT2
"DB13,REAL6",CT3
"DB14,REAL6",CT4
"DB15,REAL6",CT5
"DB16,REAL6",CT6
"DB19,REAL6",CF1
"DB20,REAL6",CC1
"DB53,REAL70",CIP_VFD_SP
"DB5,X1.5",CIP_VFD_RUN
"DB5,X1.6",CIP_VFD_TRIP
"DB5,X0.7",HW_HIGH
"DB5,X1.0",HW_LOW
"DB5,X1.1",LYE_HIGH
"DB5,X1.2",LYE_LOW
"DB5,X1.3",ACID_HIGH
"DB5,X1.4",ACID_LOW
"DB5,X24.2",BFV_3
"DB5,X24.3",BFV_4
"DB5,X24.4",BFV_5
"DB5,X25.5",BFV_6
"DB5,X24.6",BFV_7
"DB5,X24.7",BFV_8
"DB5,X25.0",BFV_9
"DB5,X25.1",BFV_10
"DB5,X25.2",BFV_11
"DB5,X25.3",BFV_12
"DB5,X25.4",BFV_13
"DB5,X25.5",BFV_14
"DB5,X25.6",BFV_15
"DB5,X25.7",BFV_16
"DB5,X26.0",BFV_17
"DB5,X26.1",BFV_18
"DB5,X26.2",BFV_19
"DB5,X26.3",BFV_20
"DB5,X26.4",Sup_Pump
"DB5,X26.5",ADP
"DB5,X26.6",LDP
